prompt_id,prompt,gold_agents,gold_agent_count,source,source_record_id,source_model,source_timestamp,source_country,quality_score,label_source,status,notes
2970,"请你以以下代码的格式，写出一段2d白色自动滚动的雾： package.cpath = “./?.dll;./ext/?.dll” require “opengl” width = 320.0 height = 240.0 angle = 0 function Setup() gl.ClearColor( 0, 0, 0, 1 ) gl.MatrixMode( gl.PROJECTION ) gl.LoadIdentity() glu.Perspective( 45, width/height, 0.1, 100 ) gl.MatrixMode( gl.MODELVIEW ) gl.LoadIdentity() end function Draw() gl.Clear( gl.COLOR_BUFFER_BIT ) – Reset the modelview matrix gl.LoadIdentity() – Move five units into the screen gl.Translate( 0, 0, -5 ) – Rotate about the Y-axis gl.Rotate( angle, 0, 1, 0 ) – Draw the triangle gl.Begin( gl.TRIANGLES ) gl.Color( 1, 0, 0 ) – Red gl.Vertex( 0, 1, 0 ) gl.Color( 0, 1, 0 ) – Green gl.Vertex( -1, -1, 0 ) gl.Color( 0, 0, 1 ) – Blue gl.Vertex( 1, -1, 0 ) gl.End() angle = angle + 2 end",ForecastAgent,1,wildchat_4.8m,9e0f180568cb953f422225a5ba54a899,gpt-3.5-turbo-0301,2023-05-02 11:32:23,Japan,11.00,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0
1373,Write a concise summary of the following. Be sure to preserve important details: But then there are the worlds beyond even what your character experiences. Interplanetary travelers probably won’t visit every single planet in the universe to witness first-hand. So how do we make them feel real enough for the reader to believe in them? To believe that they really could be out there?,SummaryAgent,1,wildchat_4.8m,bb39e430d2b28ff6d6563aa7fc1c392d,gpt-3.5-turbo-0301,2023-05-02 11:46:06,Morocco,14.00,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0
1756,"Pakimascus - a term used as a mock to Pakistani Cheap made damascus knife, Write a story about Pakistani Damascus knives and start by telling about Pakismascus and then smoothly shift the wording that PAkistani Damascus knives are improving and great.",ReportWriterAgent,1,wildchat_4.8m,11b5e49a89b411317ad608a70d4c5c8a,gpt-3.5-turbo-0613,2023-08-05 10:52:25,United States,14.00,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0
1048,"Can you write a hypothetical alternate plot for the manga Gate JSDF, only in this version the US military and the South Korean military is invited to join into the other world with the JSDF, and the US military is represented by Gomer Pyle and the cast of Sgt. Bilko and the South Korean military comprises adult versions of the cast of the manhwa Girls of the Wild's making it some crossover, how their interactions be with Itami and the others and scenarios?",SQLQueryAgent|PlotGenerationAgent,2,wildchat_4.8m,be6453b58e5b149476ae192c9de87c31,gpt-3.5-turbo-0301,2023-05-28 19:14:25,Philippines,12.00,heuristic_balanced_3000_equalized_v12,candidate,variant=1to2; promo_score=1
477,Please write a brief letter to attorney GP. introduce yourself as TY. explain the reason for you setting up the estate planning for your current finance affairs to also include future assets,ForecastAgent|ReportWriterAgent,2,wildchat_4.8m,1f67cccbb25bcb0f3e30024edcaa9036,gpt-3.5-turbo-0613,2023-09-22 04:37:09,United States,15.00,heuristic_balanced_3000_equalized_v12,candidate,variant=1to2; promo_score=1
1715,"Make a story about Scott Brand, a Burger King employee who was bored at work. Then he came up with a plan to cheer him up. Making a TikTok video depicting animatronic-like actions in the restroom to the tune Join Us for The Bite by JT Music, a fan song from the game FNAF: Sister's Location. The manager then found him dancing in the restroom, so Scott turned off the camera's phone. Scott returns to the restroom, then raises his middle finger at his manager before finishing his dance. Set in 2019 (late 2010s) Cincinnati, Ohio.",SQLQueryAgent,1,wildchat_4.8m,e75cabdf72a39d6b7bad0de822de8730,gpt-3.5-turbo-0613,2023-07-08 12:50:40,Philippines,14.00,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0
942,"Writing a full, long, detailed article in html format, optimized for search engines | be more than 2000 words | Meta Description | Table of Contents | <H1>, <H2>, <H3> | Use dotted paragraph | Use the numbered paragraph | Conclusion | Frequently Asked Questions | Use bullet points and numbering in paragraphs, and be detailed It is written in English, with full targeting of the keyword within the article, to be ranked first in the search results. The title of the article and the keyword is ( The Future of Artificial Intelligence: Predictions and Possibilities).",ForecastAgent|SummaryAgent,2,wildchat_4.8m,3257db720b7c6a3ee0c00d7eabf6e155,gpt-3.5-turbo-0613,2023-09-05 01:40:07,Egypt,12.00,heuristic_balanced_3000_equalized_v12,candidate,variant=1to2; promo_score=1
44,"Buffy and Spike are dating. It’s Spike’s birthday and Buffy doesn’t know what to get him. Buffy eventually comes up with an idea, and convinces Dawn and Joyce to go along with it. Spike goes to his and Buffy’s bedroom, and sees Buffy, Dawn and Joyce all on the bed. They’re all wearing short pink nightgowns and slippers. Buffy tells Spike that his present is that he gets all three of them. (Write a 5000 word story based on this prompt. Include a lot of dialogue. Describe all the naughty things Spike does with his present. He starts with their feet and moves on from there).",AnomalyDetectionAgent|SummaryAgent|ReportWriterAgent,3,wildchat_4.8m,e3e1ab6a39ef8a6a5000efd8575028be,gpt-3.5-turbo-0301,2023-06-09 19:48:15,United Kingdom,18.50,heuristic_balanced_3000_equalized_v12,candidate,variant=2to3h; promo_score=0
272,Why is russias gdp growing despite of war with ukraine? Compare russian gdp growth outlook versus average eu country growth outlook (next 5 years or so),StatisticalAnalysisAgent|TrendAnalysisAgent|ForecastAgent,3,wildchat_4.8m,914dbc8f7dcba3e460a35b49387f5cf4,gpt-3.5-turbo-0613,2023-09-20 20:09:10,Finland,12.00,heuristic_balanced_3000_equalized_v12,candidate,variant=1to3h; promo_score=1
2261,"не сработал npm run dev пишет ошибку Missing script: ""dev"" npm ERR! npm ERR! To see a list of scripts, run: npm ERR! npm run npm ERR! A complete log of this run can be found in:",LogRetrievalAgent,1,wildchat_4.8m,5c0fd70dcbd4dbc6fc8dcd4f95cabdbc,gpt-3.5-turbo-0301,2023-05-02 09:18:47,Russia,13.50,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0
