prompt_id,prompt,gold_agents,gold_agent_count,source,source_record_id,source_model,source_timestamp,source_country,quality_score,label_source,status,notes,semantic_group_id,semantic_split
2970,"请你以以下代码的格式，写出一段2d白色自动滚动的雾： package.cpath = “./?.dll;./ext/?.dll” require “opengl” width = 320.0 height = 240.0 angle = 0 function Setup() gl.ClearColor( 0, 0, 0, 1 ) gl.MatrixMode( gl.PROJECTION ) gl.LoadIdentity() glu.Perspective( 45, width/height, 0.1, 100 ) gl.MatrixMode( gl.MODELVIEW ) gl.LoadIdentity() end function Draw() gl.Clear( gl.COLOR_BUFFER_BIT ) – Reset the modelview matrix gl.LoadIdentity() – Move five units into the screen gl.Translate( 0, 0, -5 ) – Rotate about the Y-axis gl.Rotate( angle, 0, 1, 0 ) – Draw the triangle gl.Begin( gl.TRIANGLES ) gl.Color( 1, 0, 0 ) – Red gl.Vertex( 0, 1, 0 ) gl.Color( 0, 1, 0 ) – Green gl.Vertex( -1, -1, 0 ) gl.Color( 0, 0, 1 ) – Blue gl.Vertex( 1, -1, 0 ) gl.End() angle = angle + 2 end",ForecastAgent,1,wildchat_4.8m,9e0f180568cb953f422225a5ba54a899,gpt-3.5-turbo-0301,2023-05-02 11:32:23,Japan,11.0,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,0,train
1373,Write a concise summary of the following. Be sure to preserve important details: But then there are the worlds beyond even what your character experiences. Interplanetary travelers probably won’t visit every single planet in the universe to witness first-hand. So how do we make them feel real enough for the reader to believe in them? To believe that they really could be out there?,SummaryAgent,1,wildchat_4.8m,bb39e430d2b28ff6d6563aa7fc1c392d,gpt-3.5-turbo-0301,2023-05-02 11:46:06,Morocco,14.0,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,1,train
1756,"Pakimascus - a term used as a mock to Pakistani Cheap made damascus knife, Write a story about Pakistani Damascus knives and start by telling about Pakismascus and then smoothly shift the wording that PAkistani Damascus knives are improving and great.",ReportWriterAgent,1,wildchat_4.8m,11b5e49a89b411317ad608a70d4c5c8a,gpt-3.5-turbo-0613,2023-08-05 10:52:25,United States,14.0,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,2,train
477,Please write a brief letter to attorney GP. introduce yourself as TY. explain the reason for you setting up the estate planning for your current finance affairs to also include future assets,ForecastAgent|ReportWriterAgent,2,wildchat_4.8m,1f67cccbb25bcb0f3e30024edcaa9036,gpt-3.5-turbo-0613,2023-09-22 04:37:09,United States,15.0,heuristic_balanced_3000_equalized_v12,candidate,variant=1to2; promo_score=1,4,train
1715,"Make a story about Scott Brand, a Burger King employee who was bored at work. Then he came up with a plan to cheer him up. Making a TikTok video depicting animatronic-like actions in the restroom to the tune Join Us for The Bite by JT Music, a fan song from the game FNAF: Sister's Location. The manager then found him dancing in the restroom, so Scott turned off the camera's phone. Scott returns to the restroom, then raises his middle finger at his manager before finishing his dance. Set in 2019 (late 2010s) Cincinnati, Ohio.",SQLQueryAgent,1,wildchat_4.8m,e75cabdf72a39d6b7bad0de822de8730,gpt-3.5-turbo-0613,2023-07-08 12:50:40,Philippines,14.0,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,5,train
942,"Writing a full, long, detailed article in html format, optimized for search engines | be more than 2000 words | Meta Description | Table of Contents | <H1>, <H2>, <H3> | Use dotted paragraph | Use the numbered paragraph | Conclusion | Frequently Asked Questions | Use bullet points and numbering in paragraphs, and be detailed It is written in English, with full targeting of the keyword within the article, to be ranked first in the search results. The title of the article and the keyword is ( The Future of Artificial Intelligence: Predictions and Possibilities).",ForecastAgent|SummaryAgent,2,wildchat_4.8m,3257db720b7c6a3ee0c00d7eabf6e155,gpt-3.5-turbo-0613,2023-09-05 01:40:07,Egypt,12.0,heuristic_balanced_3000_equalized_v12,candidate,variant=1to2; promo_score=1,6,train
44,"Buffy and Spike are dating. It’s Spike’s birthday and Buffy doesn’t know what to get him. Buffy eventually comes up with an idea, and convinces Dawn and Joyce to go along with it. Spike goes to his and Buffy’s bedroom, and sees Buffy, Dawn and Joyce all on the bed. They’re all wearing short pink nightgowns and slippers. Buffy tells Spike that his present is that he gets all three of them. (Write a 5000 word story based on this prompt. Include a lot of dialogue. Describe all the naughty things Spike does with his present. He starts with their feet and moves on from there).",AnomalyDetectionAgent|SummaryAgent|ReportWriterAgent,3,wildchat_4.8m,e3e1ab6a39ef8a6a5000efd8575028be,gpt-3.5-turbo-0301,2023-06-09 19:48:15,United Kingdom,18.5,heuristic_balanced_3000_equalized_v12,candidate,variant=2to3h; promo_score=0,7,train
272,Why is russias gdp growing despite of war with ukraine? Compare russian gdp growth outlook versus average eu country growth outlook (next 5 years or so),StatisticalAnalysisAgent|TrendAnalysisAgent|ForecastAgent,3,wildchat_4.8m,914dbc8f7dcba3e460a35b49387f5cf4,gpt-3.5-turbo-0613,2023-09-20 20:09:10,Finland,12.0,heuristic_balanced_3000_equalized_v12,candidate,variant=1to3h; promo_score=1,8,train
1903,"I am having trouble understanding the logic of the word order in the phrase ""nous ne songeons pas combien la femme réelle y tient peu de place."" Is it unusual?",AnomalyDetectionAgent,1,wildchat_4.8m,03ad41ff2a336cc6406d153f5e3863f3,gpt-4-0314,2023-05-02 06:24:46,United States,13.5,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,10,train
2195,"用中文翻译‘“Exciting!”’ He was imitating her voice now, her soft Yorkshire accent, trying to make her sound daft. She got this a lot, posh boys doing funny voices, as if there was something unusual and quaint about an accent, and not for the first time she felt a reassuring shiver of dislike for him. She shrugged herself away until her back was pressed against the cool of the wall. ‘Yes, exciting. We’re meant to be excited, aren’t we? All those possibilities. It’s like the Vice-Chancellor said, “the doors of opportunity flung wide . . .”’ ‘“Yours are the names in tomorrow’s newspapers . . .”’",AnomalyDetectionAgent,1,wildchat_4.8m,c9c0e38c4c6faa798a04a88d5b978b42,gpt-3.5-turbo-0613,2023-08-02 08:10:14,China,13.5,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,11,train
1509,"come up with a short multiple choice question about this paragraph: Its niche includes scavenging and decomposing organic matter in the water column and sediment. It feeds on small invertebrates, such as tiny worms, crustaceans, and insect larvae, and helps to control their population. Mesostoma ehrenbergii is also preyed upon by larger animals, such as fish, birds, and turtles, which contributes to the food chain.",MetadataLookupAgent,1,wildchat_4.8m,e89515fd74448fc36b1c03f308bb99fa,gpt-3.5-turbo-0301,2023-06-08 00:20:51,Canada,14.0,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,12,train
2159,"alphabet = ""abcdefghijklmnopqrstuvwxyz"" test_dups = [""zzz"",""dog"",""bookkeeper"",""subdermatoglyphic"",""subdermatoglyphics""] test_miss = [""zzz"",""subdermatoglyphic"",""the quick brown fox jumps over the lazy dog""] def histogram(s): d = dict() for c in s: if c not in d: d[c] = 1 else: d[c] += 1 return d",PlotGenerationAgent,1,wildchat_4.8m,b3c9398e424dca7d877790dd151283ff,gpt-3.5-turbo-0613,2023-07-31 20:55:59,Venezuela,13.5,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,13,train
2503,How can I interact with you via api?,APIDataFetchAgent,1,wildchat_4.8m,4c0ff697d29efb27a98fe8c2e87b2765,gpt-3.5-turbo-0301,2023-06-27 21:29:31,United States,12.0,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,14,train
298,"Generate a study note for Genesis 1:1-2:4a that includes only the following information: The Bible’s opening narrative introduces the Bible’s main character—'Elohim. The creation account emphasizes 'Elohim’s power as He brings all things into existence through divine decree. 'Elohim’s creative activity occurs over six days in Gen 1:3–31. The account ends with the description of 'Elohim’s rest on the seventh day in 2:1–3. The six-day structure reflects the overall pattern the writer gives to 'Elohim’s work. Creation is organized into three categories: the heavens, the sea and sky, and the earth. 'Elohim’s creative activity forms and then fills each of these categories. The focus of the creation account demonstrates how 'Elohim brought order and structure to the universe. Throughout the Bible, 'Elohim’s power over creation shows His sovereignty (see Psalms 104:1–35 and Isaiah 40:12).",APIDataFetchAgent|TrendAnalysisAgent|ForecastAgent,3,wildchat_4.8m,961f4361869880983b724c3a6232fca7,gpt-4-0314,2023-05-21 18:31:38,United States,11.5,heuristic_balanced_3000_equalized_v12,candidate,variant=1to3h; promo_score=1,15,train
2044,"Plot a graph of distance ‘y’ (on y-axis) vs t^2 (on x-axis). In your graph you MUST show the graph equation, the axis titles and the units to get full grade in this question",PlotGenerationAgent,1,wildchat_4.8m,8f54adf170bdc23f85b34736cb992c89,gpt-3.5-turbo-0613,2023-09-24 22:15:27,Saudi Arabia,13.5,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,16,train
2008,"console.log(`%cHacked Cookies: %c${document.cookie}`, 'color: red', 'color: blue');",LogRetrievalAgent,1,wildchat_4.8m,d9f9efbfe4ff684cd87e97a47d210400,gpt-3.5-turbo-0613,2023-06-28 08:25:31,China,13.5,heuristic_balanced_3000_equalized_v12,candidate,variant=orig; promo_score=0,17,train
